Cód.,Vinho e Produtor,Preço, Preço CNPJ ,Caixa,Estoque,Classificação,,
,,,,,,,,
,FRANÇA,,,,,,,
,Château Dauzac (Bordeaux),,,,,,,
2723,Comte de Dauzac Bordeaux (Chateau Dauzac)," R$ 273,00 "," R$ 184,67 ",6 X 750ml,766,Tintos,,
2722,Comte de Dauzac Haut-Medoc (Chateau Dauzac)," R$ 434,00 "," R$ 294,08 ",6 X 750ml,473,Tintos,,
2721,Comte de Dauzac Margaux (Chateau Dauzac)," R$ 698,00 "," R$ 471,81 ",6 X 750ml,369,Tintos,,
2720,Chateau Dauzac Grand Vin Margaux (Chateau Dauzac)," R$ 1.550,00 "," R$ 1.052,81 ",6 X 750ml,50,Tintos,,
,,,,,,,,
,Château La Tour de By (Bordeaux - Médoc),,,,,,,
2326,Ch. La Tour De By Rouge," R$ 469,00 "," R$ 318,53 ",12 X 750ml,3,Tintos,,
1754,Ch. La Roque De By (Ch. La Tour De By)," R$ 355,00 "," R$ 239,90 ",12 X 750ml,10,Tintos,,
,,,,,,,,
,Audy (Bordeaux),,,,,,,
2773,Ch. Suduiraut Sauternes 375ml (Audy)," R$ 973,00 "," R$ 661,08 ",24 X,6,Doces e Fortificados,,
2056,Chateau Pierrefitte (Audy)," R$ 595,00 "," R$ 404,12 ",12 X 750ml,378,Tintos,,
2055,Chateau La Croix Calendreau (Audy)," R$ 302,00 "," R$ 205,92 ",12 X 750ml,15,Tintos,,
2054,Chateau Tour De Luchey (Audy)," R$ 208,00 "," R$ 139,42 ",12 X 750ml,281,Tintos,,
2767,Ch.Langoa Barton Saint-Julien (Audy)," R$ 1.626,00 "," R$ 1.105,05 ",6 X 750ml,8,Tintos,,
2768,Ch.Phelan Segur Saint Estephe (Audy)," R$ 1.199,00 "," R$ 815,25 ",12 X 750ml,0,Tintos,,
2769,Ch.Pedesclaux Pauillac (Audy)," R$ 1.417,00 "," R$ 963,48 ",6 X 750ml,5,Tintos,,
2770,Ch.Grand Puy Lacoste Pauillac (Audy)," R$ 2.597,00 "," R$ 1.765,47 ",6 X 750ml,16,Tintos,,
2771,Ch. Bonalgue Pomerol (Audy)," R$ 1.277,00 "," R$ 867,88 ",12 X 750ml,0,Tintos,,
2772,Ch. Grand Pontet Saint Emilion (Audy)," R$ 1.420,00 "," R$ 964,96 ",12 X 750ml,1,Tintos,,
,,,,,,,,
,Producta Vignobles (Bordeaux),,,,,,,
2711,Sauvignon Gris Grain de Lune (Producta Vignobles) ," R$ 175,00 "," R$ 117,86 ",6 X 750ml,96,Brancos,,
2712,Chateau Grand Jouan (Producta Vignobles)," R$ 175,00 "," R$ 117,86 ",6 X 750ml,561,Tintos,,
,,,,,,,,
,Saint-Didier Parnac (Sud-Ouest),,,,,,,
2796,Mission de Cenac Cahors (St Didier Parnac)," R$ 195,00 "," R$ 132,42 ",6 X 750ml,425,Tintos,,
2797,Prieure de Cernac Cahors (St Didier Parnac)," R$ 326,00 "," R$ 221,19 ",6 X 750ml,316,Tintos,,
2798,Prieure de Cernac La Vierge (St Didier Parnac)," R$ 843,00 "," R$ 573,04 ",6 X 750ml,175,Tintos,,
,,,,,,,,
,Alain Brumont (Sud-Ouest),,,,,,,
673,Gros Manseng Sauvignon (Alain Brumont)," R$ 192,00 "," R$ 129,14 ",6 X 750ml,369,Brancos,,
661,La Gascogne Tannat Merlot (Alain Brumont)," R$ 192,00 "," R$ 129,14 ",6 X 750ml,77,Tintos,,
677,Torus Rouge (Alain Brumont)," R$ 315,00 "," R$ 212,77 ",6 X 750ml,115,Tintos,,
672,Ch. Bouscasse (Alain Brumont)," R$ 487,00 "," R$ 330,15 ",6 X 750ml,230,Tintos,,
